 11 5000.067775 3.174E-26 2.011E+01.01540.250 3391.12620.37-.017000          0 2 1          0 1 0 12  0 12       13  0 13      464523307233712754    75.0   81.0
 11 5000.222590 2.503E-24 9.028E+00.01050.221 2358.30160.36-.015000          0 1 1          0 0 0 14  0 14       15  0 15      468521807233712754    87.0   93.0
 11 5000.227408 1.829E-29 7.001E-01.05630.195 4291.90970.54-.025310          1 1 0          0 0 0 16  7 10       17  6 11      334233807294713152    99.0  105.0
 11 5000.264176 1.288E-27 7.116E-05.05360.333 1411.61150.56-.005830          0 3 0          0 0 0  9  5  4        8  6  3      444223803360713049    57.0   51.0
 11 5000.346522 5.466E-30 5.465E-09.07340.352  586.24350.650.000000          0 3 0          0 0 0  9  0  9        7  0  7     q4222308079917122 0    57.0   45.0
 11 5000.423631 2.854E-30 4.689E-09.08330.391  610.34120.690.000000          0 3 0          0 0 0  6  4  3        5  4  1     q4222308079917122 0    39.0   33.0
 11 5000.508712 1.060E-30 2.004E-01.08900.371 4394.46430.72-.030180          0 1 2          1 0 0  5  1  4        6  4  3      332230807294713152    33.0   39.0
 11 5000.638678 5.069E-29 4.609E-04.06860.250 2533.79320.640.014540          0 3 0          0 0 0 13  5  8       13  4  9      484233803360713049    81.0   81.0
 11 5000.738963 1.827E-30 5.487E-09.07340.352  586.47920.650.000000          0 3 0          0 0 0  9  1  9        7  1  7     q4222308079917122 0    19.0   15.0
 11 5000.895197 3.643E-27 1.716E+00.05760.221 3360.60040.52-.003800          1 1 0          0 0 0 14  6  9       15  5 10      434423807294713152    87.0   93.0
 11 5000.936018 1.496E-30 1.175E+01.08380.298 5273.63260.700.001740          0 1 2          0 0 1  9  3  6       10  3  7      332230807294713152    57.0   63.0
 11 5001.100464 8.449E-28 5.548E-03.05020.265 2433.80040.55-.012680          0 3 0          0 0 0 11  7  4       12  6  7      454223803360713049    69.0   75.0
 11 5001.140661 1.240E-28 1.304E+01.05290.250 4442.71290.48-.018880          0 2 1          0 1 0 12  6  6       13  6  7      434233807294713152    75.0   81.0
 11 5001.144393 2.355E-30 9.427E-10.09400.434  285.41860.730.000000          0 3 0          0 0 0  5  3  2        3  3  0     q4222308079917122 0    33.0   21.0
 11 5001.473521 3.299E-26 1.340E-02.07080.298 1616.45310.45-.015880          0 1 1          0 0 0 10  2  9       10  4  6      464323307233712752    21.0   21.0
 11 5001.523682 1.158E-26 9.661E-03.02400.250 2042.31060.15-.004850          0 3 0          0 0 0 13  2 11       13  1 12      464223803360713049    81.0   81.0
 11 5001.585084 1.960E-30 3.556E-01.03760.235 4585.34810.35-.028660          1 2 0          0 1 0 14  4 11       14  5 10      332230807294713152    87.0   87.0
 11 5001.600589 5.950E-28 8.197E-02.08180.333 2771.69000.71-.017290          0 2 1          0 1 0  8  2  7        8  4  4      434223807294713152    17.0   17.0
 11 5001.922759 1.826E-30 2.683E-09.07810.371  552.91140.670.000000          1 1 0          0 0 0  5  0  5        6  2  5     q4222308079917122 0    33.0   39.0
 11 5002.086911 2.990E-29 4.870E-02.05090.281 3323.26980.48-.032980          1 0 1          0 1 0 10  1 10       11  3  9      434233807294713152    21.0   23.0
 11 5002.156549 1.144E-30 2.019E-02.06150.281 3832.25170.61-.038700          2 0 0          0 1 0 11  3  9       11  6  6      432230807294713152    23.0   23.0
 11 5002.393452 5.558E-30 1.862E-07.07980.352 1059.64670.69-.012870          0 1 1          0 0 0  8  1  8        7  5  3      432230807294713152    17.0   15.0
